Date sampled,Location,Transect,Coordinates,Coordinates,Management,Spring site,Stream dry or wet ,Pool or riffle,Wetted width (m),Sum canopy,Sum under,Sum ground,sum fec 1 m,sum fec 1 to 5,sum fec 5 to 10,tot fec,Canopy cover (right bank),Understory (right bank),Ground cover (right bank),Canopy cover (left bank),Understory (left bank),Ground cover (left bank),Fecal matter within stream (right bank),Fecal matter 1m of stream (right bank),Fecal matter 1-5m of stream (right bank),Fecal matter 5-10m of stream (right bank),Fecal matter within stream (left bank),Fecal matter 1m of stream (left bank),Fecal matter 1-5m of stream (left bank),Fecal matter 5-10m of stream (left bank),average sed,Sediment size point 1 (mm),Sediment size point 2 (mm),Sediment size point 3 (mm),Sediment size point 4 (mm),Sediment size point 5 (mm),Sediment size point 6 (mm),Sediment size point 7 (mm),Sediment size point 8 (mm),Sediment size point 9 (mm),Sediment size point 10 (mm),Sediment size point 11 (mm)
5/26/2022,VFTC,Transect 10,"38°25'1""N","96°33'44""W",Cattle,No,Wet,Riffle,2.4,0,4,8,0,0,3,3,0,2,4,0,2,4,0,0,0,3,0,0,0,0,20.0363636,8,32,32,5.6,22.6,16,22.6,32,16,22.6,11
5/26/2022,VFTC,Transect 11,"38°25'1""N","96°33'44""W",Cattle,No,Wet,Riffle,2,0,5,5,3,1,0,4,0,3,2,0,2,3,0,2,0,0,0,1,1,0,37.6,22.6,32,32,32,32,32,45,45,32,45,64
5/26/2022,VFMT,Transect 1,"38°25'15""N","96°36'32""W",Cattle,No,Wet,Riffle,2.55,0,2,8,9,10,8,27,0,2,4,0,0,4,0,0,3,2,0,9,7,6,28.181818,45,22.6,32,32,11,22.6,22.6,22.6,22.6,45,32
5/26/2022,VFMT,Transect 2,"38°25'16""N","96°36'32""W",Cattle,No,Wet,Riffle,3.05,0,1,8,8,13,16,37,0,1,4,0,0,4,0,7,5,7,0,1,8,9,22.3090909,5.6,32,5.6,11,45,16,32,8,22.6,22.6,45
5/26/2022,VFMT,Transect 3,"38°25'16""N","96°36'31""W",Cattle,No,Wet,Riffle,1,0,1,8,11,3,11,25,0,1,4,0,0,4,0,6,0,4,0,5,3,7,42.5636363,32,11,16,45,64,22.6,11,180,32,32,22.6
5/26/2022,VFMT,Transect 4,"38°25'16""N","96°36'31""W",Cattle,No,Wet,Riffle,1.15,0,1,7,0,7,23,30,0,0,3,0,1,4,0,0,0,10,0,0,7,13,25.3272727,16,8,45,64,32,22.6,16,16,32,16,11
5/26/2022,VFMT,Transect 5,"38°25'16""N","96°36'30""W",Cattle,No,Wet,Riffle,2.8,0,4,8,4,4,2,10,0,2,4,0,2,4,0,1,2,2,0,3,2,0,26.2,16,8,22.6,16,128,16,16,11,16,16,22.6
5/26/2022,VFMT,Transect 6,"38°25'17""N","96°36'30""W",Cattle,No,Wet,Riffle,1.5,0,4,7,3,2,2,7,0,3,3,0,1,4,0,3,2,1,0,0,0,1,44.7090909,45,45,22.6,22.6,22.6,45,180,11,8,45,45
5/26/2022,VFMT,Transect 7,"38°25'17""N","96°36'29""W",Cattle,No,Wet,Riffle,2.95,0,3,6,3,6,10,19,0,1,3,0,2,3,0,2,1,3,0,1,5,7,39.07272727,22.6,22.6,32,180,64,11,16,11,32,22.6,16
5/26/2022,VFMT,Transect 8,"38°25'18""N","96°36'29""W",Cattle,No,Wet,Riffle,2.15,0,2,8,8,5,4,17,0,1,4,0,1,4,0,1,2,2,0,7,3,2,65,>180,90,45,45,64,128,64,8,11,16,64
